name_ar,name_en,name_ku,category,lat,lng,address_ar,phone_numbers,governorate
قلعة أربيل,Erbil Citadel,Qelay Hewlêr,landmark,36.1913,44.0092,مركز مدينة أربيل,,أربيل
مطار أربيل الدولي,Erbil International Airport,Firogeha Navneteweyî ya Hewlêrê,airport,36.2376,43.9633,طريق المطار - أربيل,+964 66 257 5000,أربيل
جامعة صلاح الدين,Salahaddin University,Zanîngeha Selahedînê,university,36.1706,44.0066,حي الجامعة - أربيل,+964 66 225 8100,أربيل
مستشفى الطوارئ أربيل,Erbil Emergency Hospital,Nexweşxaneya Lezgîn a Hewlêrê,hospital,36.1826,44.0189,شارع 60 متر - أربيل,115,أربيل
مجمع فاميلي مول,Family Mall,Family Mall,market,36.1889,43.9961,شارع 100 متر - أربيل,+964 750 444 5555,أربيل
ماجدي مول,Majidi Mall,Majidi Mall,market,36.1945,44.0123,شارع كركوك - أربيل,+964 750 333 4444,أربيل
مستشفى راپرین,Raparin Hospital,Nexweşxaneya Raperîn,hospital,36.1654,44.0234,عنكاوا - أربيل,+964 66 210 5555,أربيل
جامع جليل الخياط,Jalil Al-Khayat Mosque,Mizgewta Celîl El-Xeyat,mosque,36.1876,44.0045,مركز أربيل,+964 750 222 3333,أربيل
محطة وقود Total,Total Gas Station,Stasyona Sotemenîyê Total,gas_station,36.1987,44.0156,طريق أربيل - كركوك,+964 750 111 2222,أربيل
فندق روتانا,Rotana Hotel,Otela Rotana,hotel,36.1834,44.0098,شارع 100 متر - أربيل,+964 66 210 5000,أربيل
مطعم ماسترو,Mastro Restaurant,Xwaringeha Mastro,restaurant,36.1923,44.0067,شارع 60 متر - أربيل,+964 750 888 9999,أربيل
مستشفى نانكلي,Nanakaly Hospital,Nexweşxaneya Nankaley,hospital,36.2045,43.9876,حي ناز سيتي - أربيل,+964 66 257 8888,أربيل
جامعة هولير الطبية,Hawler Medical University,Zanîngeha Bijîşkî ya Hewlêrê,university,36.1789,44.0234,حي الجامعة - أربيل,+964 66 225 7777,أربيل
سوق القيصرية,Qaysari Bazaar,Bazara Qeyserî,market,36.1901,44.0087,مركز أربيل - بجانب القلعة,,أربيل
مطار الرمادي,Ramadi Airport,,airport,33.4678,43.3123,الرمادي - الأنبار,,الأنبار
جامعة الأنبار,University of Anbar,,university,33.4389,43.2978,الرمادي - الأنبار,+964 24 234 5000,الأنبار
مستشفى الرمادي التعليمي,Ramadi Teaching Hospital,,hospital,33.4156,43.3089,مركز الرمادي,+964 24 234 2222,الأنبار
جامع الحضرة,Al-Hadra Mosque,,mosque,33.4211,43.3067,مركز الرمادي,,الأنبار
سوق الرمادي المركزي,Ramadi Central Market,,market,33.4198,43.3045,مركز الرمادي,,الأنبار
مستشفى الفلوجة العام,Fallujah General Hospital,,hospital,33.3512,43.7876,مركز الفلوجة,+964 24 287 3333,الأنبار
مسجد الفلوجة الكبير,Fallujah Grand Mosque,,mosque,33.3489,43.7841,مركز الفلوجة,,الأنبار
محطة وقود الرمادي,Ramadi Gas Station,,gas_station,33.4234,43.3123,طريق بغداد - الرمادي,,الأنبار
جامع القائم الكبير,Al-Qaim Grand Mosque,,mosque,34.3989,41.0128,مركز القائم,,الأنبار
مستشفى القائم العام,Al-Qaim General Hospital,,hospital,34.3967,41.0156,مركز القائم,+964 24 267 4444,الأنبار
كلية التربية - جامعة الأنبار,College of Education - Anbar University,,university,33.4401,43.2989,الرمادي - الأنبار,+964 24 234 5100,الأنبار
مدرسة الرمادي الثانوية,Ramadi High School,,school,33.4178,43.3056,مركز الرمادي,+964 24 234 6666,الأنبار
مبنى محافظة الأنبار,Anbar Governorate Building,,government,33.4223,43.3078,مركز الرمادي,+964 24 234 7777,الأنبار
موقف الرمادي المركزي,Ramadi Central Bus Station,,station,33.4189,43.3034,مركز الرمادي,,الأنبار
حديقة الرمادي العامة,Ramadi Public Park,,landmark,33.4167,43.3098,مركز الرمادي,,الأنبار
مول الرمادي التجاري,Ramadi Commercial Mall,,market,33.4245,43.3112,الرمادي,+964 750 555 6666,الأنبار
فندق الرمادي,Ramadi Hotel,,hotel,33.4201,43.3089,مركز الرمادي,+964 24 234 8888,الأنبار
