name_ar,name_en,name_ku,category,lat,lng,address_ar,phone_numbers,properties
قلعة أربيل,Erbil Citadel,Qelay Hewlêr,landmark,37.1913,44.0092,مركز مدينة أربيل,,"{""unesco_heritage"": true, ""historical_significance"": ""أقدم مدينة مأهولة بالسكان في العالم"", ""visiting_hours"": ""09:00-17:00""}"
مطار أربيل الدولي,Erbil International Airport,Firogeha Navneteweyî ya Hewlêrê,airport,37.2376,43.9633,طريق المطار - أربيل,"+964 66 257 5000","{""iata_code"": ""EBL"", ""terminals"": 1, ""international"": true}"
جامعة صلاح الدين,Salahaddin University,Zanîngeha Selahedînê,university,37.1706,44.0066,حي الجامعة - أربيل,"+964 66 225 8100","{""established"": 1968, ""student_count"": 30000}"
مستشفى الطوارئ أربيل,Erbil Emergency Hospital,Nexweşxaneya Lezgîn a Hewlêrê,hospital,37.1826,44.0189,شارع 60 متر - أربيل,115,"{""type"": ""حكومي"", ""emergency_service"": true, ""capacity"": 300}"
مجمع فاميلي مول,Family Mall,Family Mall,market,37.1889,43.9961,شارع 100 متر - أربيل,"+964 750 444 5555","{""type"": ""مول"", ""floors"": 4, ""parking_spaces"": 1000}"
ماجدي مول,Majidi Mall,Majidi Mall,market,37.1945,44.0123,شارع كركوك - أربيل,"+964 750 333 4444","{""type"": ""مول"", ""floors"": 3, ""parking_spaces"": 800}"
مستشفى راپرین,Raparin Hospital,Nexweşxaneya Raperîn,hospital,37.1654,44.0234,عنكاوا - أربيل,"+964 66 210 5555","{""type"": ""خاص"", ""emergency_service"": true, ""specializations"": [""قلب"", ""جراحة"", ""أطفال""]}"
جامع جليل الخياط,Jalil Al-Khayat Mosque,Mizgewta Celîl El-Xeyat,mosque,37.1876,44.0045,مركز أربيل,"+964 750 222 3333","{""capacity"": 3000, ""historical"": false}"
محطة وقود Total,Total Gas Station,Stasyona Sotemenîyê Total,gas_station,37.1987,44.0156,طريق أربيل - كركوك,"+964 750 111 2222","{""fuel_types"": [""بنزين"", ""ديزل""], ""24h_service"": true}"
فندق روتانا,Rotana Hotel,Otela Rotana,hotel,37.1834,44.0098,شارع 100 متر - أربيل,"+964 66 210 5000","{""stars"": 5, ""rooms_count"": 200, ""amenities"": [""wifi"", ""parking"", ""restaurant"", ""gym"", ""pool""]}"
مطعم ماسترو,Mastro Restaurant,Xwaringeha Mastro,restaurant,37.1923,44.0067,شارع 60 متر - أربيل,"+964 750 888 9999","{""cuisine_type"": ""إيطالي"", ""price_range"": ""luxury""}"
مستشفى نانكلي,Nanakaly Hospital,Nexweşxaneya Nankaley,hospital,37.2045,43.9876,حي ناز سيتي - أربيل,"+964 66 257 8888","{""type"": ""خاص"", ""emergency_service"": true, ""capacity"": 150}"
جامعة هولير الطبية,Hawler Medical University,Zanîngeha Bijîşkî ya Hewlêrê,university,37.1789,44.0234,حي الجامعة - أربيل,"+964 66 225 7777","{""established"": 2005, ""student_count"": 5000, ""specialized"": ""طب""}"
سوق القيصرية,Qaysari Bazaar,Bazara Qeyserî,market,37.1901,44.0087,مركز أربيل - بجانب القلعة,,"{""type"": ""سوق تقليدي"", ""historical"": true}"
مطار الرمادي,Ramadi Airport,,airport,34.4678,43.3123,الرمادي - الأنبار,,"{""iata_code"": ""N/A"", ""military"": true}"
جامعة الأنبار,University of Anbar,,university,34.4389,43.2978,الرمادي - الأنبار,"+964 24 234 5000","{""established"": 1987, ""student_count"": 25000}"
مستشفى الرمادي التعليمي,Ramadi Teaching Hospital,,hospital,34.4156,43.3089,مركز الرمادي,"+964 24 234 2222","{""type"": ""تعليمي"", ""emergency_service"": true, ""capacity"": 400}"
